User_id,Date,itemDescription,year,month,day,day_of_week
2351,2014-01-01,cleaner,2014,1,1,2
3681,2014-01-01,whipped/sour cream,2014,1,1,2
1440,2014-01-01,yogurt,2014,1,1,2
2974,2014-01-01,whipped/sour cream,2014,1,1,2
2727,2014-01-01,frozen potato products,2014,1,1,2
1789,2014-01-01,candles,2014,1,1,2
3942,2014-01-01,yogurt,2014,1,1,2
2610,2014-01-01,bottled beer,2014,1,1,2
2237,2014-01-01,Instant food products,2014,1,1,2
4942,2014-01-01,frozen vegetables,2014,1,1,2
3956,2014-01-01,shopping bags,2014,1,1,2
2709,2014-01-01,frozen vegetables,2014,1,1,2
3797,2014-01-01,whole milk,2014,1,1,2
4260,2014-01-01,brown bread,2014,1,1,2
1381,2014-01-01,soda,2014,1,1,2
1659,2014-01-01,frozen vegetables,2014,1,1,2
3942,2014-01-01,Instant food products,2014,1,1,2
2610,2014-01-01,domestic eggs,2014,1,1,2
3956,2014-01-01,waffles,2014,1,1,2
3681,2014-01-01,dishes,2014,1,1,2
3956,2014-01-01,chocolate,2014,1,1,2
2974,2014-01-01,bottled water,2014,1,1,2
1249,2014-01-01,coffee,2014,1,1,2
2943,2014-01-01,flower (seeds),2014,1,1,2
2542,2014-01-01,bottled water,2014,1,1,2
2226,2014-01-01,bottled water,2014,1,1,2
1922,2014-01-01,other vegetables,2014,1,1,2
2226,2014-01-01,sausage,2014,1,1,2
1922,2014-01-01,tropical fruit,2014,1,1,2
2943,2014-01-01,whole milk,2014,1,1,2
1249,2014-01-01,citrus fruit,2014,1,1,2
1440,2014-01-01,other vegetables,2014,1,1,2
2974,2014-01-01,berries,2014,1,1,2
2727,2014-01-01,hamburger meat,2014,1,1,2
1789,2014-01-01,hamburger meat,2014,1,1,2
3942,2014-01-01,other vegetables,2014,1,1,2
3681,2014-01-01,onions,2014,1,1,2
2237,2014-01-01,bottled water,2014,1,1,2
2351,2014-01-01,shopping bags,2014,1,1,2
2610,2014-01-01,hamburger meat,2014,1,1,2
1659,2014-01-01,specialty chocolate,2014,1,1,2
1381,2014-01-01,curd,2014,1,1,2
4260,2014-01-01,soda,2014,1,1,2
2542,2014-01-01,sliced cheese,2014,1,1,2
3797,2014-01-01,waffles,2014,1,1,2
2709,2014-01-01,yogurt,2014,1,1,2
3956,2014-01-01,yogurt,2014,1,1,2
4942,2014-01-01,butter,2014,1,1,2
4014,2014-01-02,shopping bags,2014,1,2,3
3977,2014-01-02,butter milk,2014,1,2,3
2480,2014-01-02,pickled vegetables,2014,1,2,3
4907,2014-01-02,whipped/sour cream,2014,1,2,3
1248,2014-01-02,butter,2014,1,2,3
3130,2014-01-02,yogurt,2014,1,2,3
3178,2014-01-02,candy,2014,1,2,3
1066,2014-01-02,bottled beer,2014,1,2,3
4364,2014-01-02,yogurt,2014,1,2,3
2311,2014-01-02,canned beer,2014,1,2,3
4847,2014-01-02,other vegetables,2014,1,2,3
3641,2014-01-02,soft cheese,2014,1,2,3
4666,2014-01-02,dessert,2014,1,2,3
1870,2014-01-02,fruit/vegetable juice,2014,1,2,3
4933,2014-01-02,bottled water,2014,1,2,3
4933,2014-01-02,hard cheese,2014,1,2,3
2043,2014-01-02,waffles,2014,1,2,3
1365,2014-01-02,frozen vegetables,2014,1,2,3
3259,2014-01-02,soda,2014,1,2,3
3977,2014-01-02,oil,2014,1,2,3
1265,2014-01-02,soda,2014,1,2,3
4907,2014-01-02,bottled beer,2014,1,2,3
3977,2014-01-02,frozen meals,2014,1,2,3
1870,2014-01-02,napkins,2014,1,2,3
3692,2014-01-02,misc. beverages,2014,1,2,3
2043,2014-01-02,brown bread,2014,1,2,3
1365,2014-01-02,specialty bar,2014,1,2,3
3259,2014-01-02,dishes,2014,1,2,3
2828,2014-01-02,curd,2014,1,2,3
3692,2014-01-02,frozen dessert,2014,1,2,3
4450,2014-01-02,condensed milk,2014,1,2,3
3977,2014-01-02,brown bread,2014,1,2,3
