gamma,delta,model_type,dev_precision,dev_recall,dev_map,test_precision,test_recall,test_map,exp_name,phase,model,variant,precision,recall,map,Exp. Name,Phase,Model,Variant,Precision,Recall,Map,MAP
0.4,0.2,hybrid,0.0432762836185819,0.1847548867414393,0.0702370549324502,3.0248033877797946e-05,0.0003024803387779,0.0001512401693889,exp_2025_04_26_20_31_43,,,,,,,,,,,,,,
0.4,0.2,hybrid,0.0432355338223308,0.1846190540872692,0.0695412359909099,3.0248033877797946e-05,0.0003024803387779,0.0001512401693889,exp_2025_04_27_01_08_16,,,,,,,,,,,,,,
0.4,0.2,hybrid,0.0432355338223308,0.1846190540872692,0.0695412359909099,3.0248033877797946e-05,0.0003024803387779,0.0001512401693889,exp_2025_04_27_01_08_16,,,,,,,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_16_54_02,dev,Rule,FP-Growth,0.0774246128769356,0.334863714570316,0.1411375176259039,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_16_54_02,dev,CF,FP-Growth,0.0248981255093724,0.10609274136169,0.0335577213317637,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_16_54_02,dev,Hybrid,FP-Growth,0.0432355338223308,0.1846190540872692,0.0695412359909099,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_16_54_02,test,Rule,FP-Growth,0.0910314579552329,0.3253701183034214,0.1527856052853352,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_16_54_02,test,CF,CF-only,0.0506654567453115,0.1795689535140533,0.0770729384772214,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_16_54_02,test,Hybrid,Hybrid,0.0717483363581367,0.2549271286453682,0.1031666607079411,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_17_44_06,dev,Rule,FP-Growth,0.0774246128769356,0.334863714570316,0.1411375176259039,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_17_44_06,dev,CF,FP-Growth,0.0248981255093724,0.10609274136169,0.0335577213317637,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_17_44_06,dev,Hybrid,FP-Growth,0.0432355338223308,0.1846190540872692,0.0695412359909099,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_17_44_06,test,Rule,FP-Growth,0.0910314579552329,0.3253701183034214,0.1527856052853352,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_17_44_06,test,CF,CF-only,0.0506654567453115,0.1795689535140533,0.0770729384772214,,,,,,,,
0.4,0.2,,,,,,,,exp_2025_04_27_17_44_06,test,Hybrid,Hybrid,0.0717483363581367,0.2549271286453682,0.1031666607079411,,,,,,,,
0.4,0.2,,,,,,,,,,,,,,,exp_2025_04_27_19_06_41,dev,Rule,FP-Growth,0.0774246128769356,0.334863714570316,0.1411375176259039,
0.4,0.2,,,,,,,,,,,,,,,exp_2025_04_27_19_06_41,dev,CF,FP-Growth,0.0248981255093724,0.10609274136169,0.0335577213317637,
0.4,0.2,,,,,,,,,,,,,,,exp_2025_04_27_19_06_41,dev,Hybrid,FP-Growth,0.0432355338223308,0.1846190540872692,0.0695412359909099,
0.4,0.2,,,,,,,,,,,,,,,exp_2025_04_27_19_06_41,test,Rule,FP-Growth,0.0910314579552329,0.3253701183034214,,0.1527856052853352
0.4,0.2,,,,,,,,,,,,,,,exp_2025_04_27_19_06_41,test,CF,CF-only,0.0506654567453115,0.1795689535140533,,0.0770729384772214
0.4,0.2,,,,,,,,,,,,,,,exp_2025_04_27_19_06_41,test,Hybrid,Hybrid,0.0717483363581367,0.2549271286453682,,0.1031666607079411
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_19_55_10,dev,Rule,FP-Growth,0.0774246128769356,0.334863714570316,0.1411375176259039,
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_19_55_10,dev,CF,FP-Growth,0.0248981255093724,0.10609274136169,0.0335577213317637,
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_19_55_10,dev,Hybrid,FP-Growth,0.0432355338223308,0.1846190540872692,0.0695412359909099,
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_19_55_10,test,Rule,FP-Growth,0.0910314579552329,0.3253701183034214,,0.1527856052853352
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_19_55_10,test,CF,CF-only,0.0506654567453115,0.1795689535140533,,0.0770729384772214
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_19_55_10,test,Hybrid,Hybrid,0.0717483363581367,0.2549271286453682,,0.1031666607079411
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_20_46_17,dev,Rule,FP-Growth,0.07742461287693561,0.334863714570316,0.14113751762590396,
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_20_46_17,dev,CF,FP-Growth,0.024898125509372454,0.10609274136169002,0.033557721331763705,
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_20_46_17,dev,Hybrid,FP-Growth,0.043235533822330884,0.18461905408726925,0.06954123599090999,
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_20_46_17,test,Rule,FP-Growth,0.09103145795523292,0.3253701183034214,,0.15278560528533522
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_20_46_17,test,CF,CF-only,0.05066545674531155,0.17956895351405333,,0.07707293847722146
0.6,0.4,,,,,,,,,,,,,,,exp_2025_04_27_20_46_17,test,Hybrid,Hybrid,0.07174833635813672,0.2549271286453682,,0.10316666070794117
