algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
Apriori,frozenset({'roll products '}),frozenset({'frozen vegetables'}),0.0013,0.2308,8.3361,0.936,0.9431
Apriori,frozenset({'cake bar'}),frozenset({'shopping bags'}),0.0017,0.2857,5.2823,1.0,0.7501
Apriori,frozenset({'white wine'}),frozenset({'chocolate'}),0.0013,0.1111,6.3631,0.8354,0.6922
Apriori,frozenset({'chocolate'}),frozenset({'white wine'}),0.0013,0.0732,6.3631,0.8354,0.6922
Apriori,frozenset({'detergent'}),frozenset({'rolls/buns'}),0.0021,0.3333,3.3024,1.0,0.5881
Apriori,frozenset({'chewing gum'}),frozenset({'oil'}),0.0013,0.0937,5.0028,0.9524,0.685
Apriori,frozenset({'oil'}),frozenset({'chewing gum'}),0.0013,0.0682,5.0028,0.9524,0.685
Apriori,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.006,0.1373,1.0103,1.0,0.4006
Apriori,frozenset({'pot plants'}),frozenset({'yogurt'}),0.0021,0.2273,2.916,0.9836,0.5419
Apriori,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.006,0.1102,1.0032,1.0,0.4
Apriori,frozenset({'hard cheese'}),frozenset({'sugar'}),0.0013,0.0937,5.0028,0.8484,0.5924
Apriori,frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.0055,0.1275,1.1599,1.0,0.4128
Apriori,frozenset({'frozen dessert'}),frozenset({'newspapers'}),0.0013,0.1875,4.7339,0.8053,0.5321
Apriori,frozenset({'canned fish'}),frozenset({'fruit/vegetable juice'}),0.0013,0.15,4.0483,0.9355,0.5918
Apriori,frozenset({'sugar'}),frozenset({'hard cheese'}),0.0013,0.0682,5.0028,0.8484,0.5924
Apriori,frozenset({'candy'}),frozenset({'butter'}),0.0021,0.1316,3.5108,0.9048,0.5206
Apriori,frozenset({'frozen vegetables'}),frozenset({'rolls/buns'}),0.0043,0.1538,1.5242,0.9836,0.4281
Apriori,frozenset({'seasonal products'}),frozenset({'bottled water'}),0.0013,0.1875,2.9156,1.0,0.5565
Apriori,frozenset({'pastry'}),frozenset({'bottled water'}),0.0047,0.0887,1.3794,0.9836,0.4162
Apriori,frozenset({'whipped/sour cream'}),frozenset({'yogurt'}),0.0047,0.0991,1.2715,0.9836,0.4074
Apriori,frozenset({'bottled water'}),frozenset({'pastry'}),0.0047,0.0728,1.3794,0.9836,0.4162
Apriori,frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.0043,0.1538,1.1324,0.9836,0.396
Apriori,frozenset({'salty snack'}),frozenset({'soda'}),0.0034,0.1633,1.6453,0.9678,0.4239
Apriori,frozenset({'yogurt'}),frozenset({'whipped/sour cream'}),0.0047,0.0601,1.2715,0.9836,0.4074
Apriori,"frozenset({'soda', 'rolls/buns'})",frozenset({'other vegetables'}),0.0013,0.25,2.2752,1.0,0.5041
Apriori,frozenset({'meat'}),frozenset({'curd'}),0.0013,0.1,3.4529,0.936,0.5436
Apriori,frozenset({'domestic eggs'}),frozenset({'soda'}),0.0047,0.11,1.1085,0.9376,0.3531
Apriori,frozenset({'butter milk'}),frozenset({'bottled water'}),0.0021,0.1471,2.2867,0.9678,0.4763
Apriori,frozenset({'canned beer'}),frozenset({'brown bread'}),0.003,0.0909,2.1561,0.9514,0.4511
Apriori,frozenset({'frozen meals'}),frozenset({'other vegetables'}),0.003,0.1667,1.5168,0.9836,0.4274
Apriori,frozenset({'shopping bags'}),frozenset({'yogurt'}),0.0043,0.0787,1.0103,1.0,0.4006
Apriori,frozenset({'coffee'}),frozenset({'soda'}),0.0038,0.1169,1.1779,0.9836,0.3997
Apriori,frozenset({'brown bread'}),frozenset({'canned beer'}),0.003,0.0707,2.1561,0.9514,0.4511
Apriori,frozenset({'beverages'}),frozenset({'fruit/vegetable juice'}),0.0013,0.1111,2.9987,0.9514,0.52
Apriori,frozenset({'roll products '}),frozenset({'soda'}),0.0013,0.2308,2.3255,0.9524,0.4659
Apriori,frozenset({'semi-finished bread'}),frozenset({'newspapers'}),0.0013,0.125,3.1559,0.9094,0.4956
Apriori,frozenset({'brown bread'}),frozenset({'yogurt'}),0.0038,0.0909,1.1664,0.9836,0.3988
Apriori,frozenset({'dessert'}),frozenset({'whole milk'}),0.0034,0.1404,1.0331,1.0,0.4024
Apriori,frozenset({'flour'}),frozenset({'citrus fruit'}),0.0013,0.1154,3.2253,0.883,0.4778
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'tropical fruit'}),0.003,0.0805,1.9278,0.9355,0.4183
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.0038,0.1034,1.0249,0.9678,0.3731
Apriori,frozenset({'tropical fruit'}),frozenset({'fruit/vegetable juice'}),0.003,0.0714,1.9278,0.9355,0.4183
Apriori,frozenset({'chewing gum'}),frozenset({'soda'}),0.0021,0.1562,1.5746,1.0,0.4467
Apriori,frozenset({'berries'}),frozenset({'pastry'}),0.0017,0.1143,2.1641,0.9836,0.4804
Apriori,frozenset({'curd'}),frozenset({'whipped/sour cream'}),0.0026,0.0882,1.8665,0.9672,0.4415
Apriori,frozenset({'chewing gum'}),frozenset({'rolls/buns'}),0.0021,0.1562,1.548,1.0,0.4446
Apriori,frozenset({'napkins'}),frozenset({'yogurt'}),0.0026,0.1154,1.4805,1.0,0.439
Apriori,frozenset({'cat food'}),frozenset({'fruit/vegetable juice'}),0.0013,0.1111,2.9987,0.8771,0.454
Apriori,frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.003,0.14,1.2741,0.9524,0.3799
Apriori,frozenset({'red/blush wine'}),frozenset({'bottled water'}),0.0017,0.129,2.0064,0.9678,0.4534
Apriori,frozenset({'pip fruit'}),frozenset({'rolls/buns'}),0.0034,0.1127,1.1163,0.9524,0.3669
Apriori,frozenset({'whipped/sour cream'}),frozenset({'bottled water'}),0.0034,0.0721,1.1207,0.9836,0.395
Apriori,frozenset({'hamburger meat'}),frozenset({'other vegetables'}),0.0021,0.1562,1.422,0.9836,0.4197
Apriori,frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.0034,0.0667,1.2325,0.9524,0.3765
Apriori,frozenset({'sugar'}),frozenset({'bottled water'}),0.0021,0.1136,1.767,0.9524,0.4202
Apriori,frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.0034,0.063,1.2325,0.9524,0.3765
Apriori,frozenset({'candy'}),frozenset({'domestic eggs'}),0.0017,0.1053,2.4716,0.89,0.4223
Apriori,frozenset({'specialty bar'}),frozenset({'newspapers'}),0.0013,0.1071,2.7051,0.893,0.4441
