algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'roll products '}),frozenset({'frozen vegetables'}),0.0013,0.2308,8.3361,0.936,0.6965
Apriori,frozenset({'roll products '}),frozenset({'frozen vegetables'}),0.0013,0.2308,8.3361,0.936,0.6965
FP-Growth,frozenset({'cake bar'}),frozenset({'shopping bags'}),0.0017,0.2857,5.2823,1.0,0.6168
Apriori,frozenset({'cake bar'}),frozenset({'shopping bags'}),0.0017,0.2857,5.2823,1.0,0.6168
FP-Growth,frozenset({'white wine'}),frozenset({'chocolate'}),0.0013,0.1111,6.3631,0.8354,0.4566
Apriori,frozenset({'white wine'}),frozenset({'chocolate'}),0.0013,0.1111,6.3631,0.8354,0.4566
Apriori,frozenset({'chocolate'}),frozenset({'white wine'}),0.0013,0.0732,6.3631,0.8354,0.4288
FP-Growth,frozenset({'chocolate'}),frozenset({'white wine'}),0.0013,0.0732,6.3631,0.8354,0.4288
Apriori,frozenset({'detergent'}),frozenset({'rolls/buns'}),0.0021,0.3333,3.3024,1.0,0.5618
FP-Growth,frozenset({'detergent'}),frozenset({'rolls/buns'}),0.0021,0.3333,3.3024,1.0,0.5618
FP-Growth,frozenset({'chewing gum'}),frozenset({'oil'}),0.0013,0.0937,5.0028,0.9524,0.4217
Apriori,frozenset({'chewing gum'}),frozenset({'oil'}),0.0013,0.0937,5.0028,0.9524,0.4217
Apriori,frozenset({'oil'}),frozenset({'chewing gum'}),0.0013,0.0682,5.0028,0.9524,0.403
FP-Growth,frozenset({'oil'}),frozenset({'chewing gum'}),0.0013,0.0682,5.0028,0.9524,0.403
FP-Growth,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.006,0.1373,1.0103,1.0,0.4569
Apriori,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.006,0.1373,1.0103,1.0,0.4569
Apriori,frozenset({'pot plants'}),frozenset({'yogurt'}),0.0021,0.2273,2.916,0.9836,0.4558
FP-Growth,frozenset({'pot plants'}),frozenset({'yogurt'}),0.0021,0.2273,2.916,0.9836,0.4558
Apriori,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.006,0.1102,1.0032,1.0,0.4368
FP-Growth,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.006,0.1102,1.0032,1.0,0.4368
Apriori,frozenset({'hard cheese'}),frozenset({'sugar'}),0.0013,0.0937,5.0028,0.8484,0.3755
FP-Growth,frozenset({'hard cheese'}),frozenset({'sugar'}),0.0013,0.0937,5.0028,0.8484,0.3755
FP-Growth,frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.0055,0.1275,1.1599,1.0,0.4397
Apriori,frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.0055,0.1275,1.1599,1.0,0.4397
FP-Growth,frozenset({'frozen dessert'}),frozenset({'newspapers'}),0.0013,0.1875,4.7339,0.8053,0.4102
Apriori,frozenset({'frozen dessert'}),frozenset({'newspapers'}),0.0013,0.1875,4.7339,0.8053,0.4102
Apriori,frozenset({'canned fish'}),frozenset({'fruit/vegetable juice'}),0.0013,0.15,4.0483,0.9355,0.4033
FP-Growth,frozenset({'canned fish'}),frozenset({'fruit/vegetable juice'}),0.0013,0.15,4.0483,0.9355,0.4033
Apriori,frozenset({'sugar'}),frozenset({'hard cheese'}),0.0013,0.0682,5.0028,0.8484,0.3567
FP-Growth,frozenset({'sugar'}),frozenset({'hard cheese'}),0.0013,0.0682,5.0028,0.8484,0.3567
Apriori,frozenset({'candy'}),frozenset({'butter'}),0.0021,0.1316,3.5108,0.9048,0.3832
FP-Growth,frozenset({'candy'}),frozenset({'butter'}),0.0021,0.1316,3.5108,0.9048,0.3832
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'rolls/buns'}),0.0043,0.1538,1.5242,0.9836,0.4171
