algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'frankfurter'}),frozenset({'whole milk'}),0.002,0.1667,1.2773,1.0,0.7263
FP-Growth,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.0054,0.1327,1.0173,1.0,0.5753
FP-Growth,frozenset({'soda'}),frozenset({'whole milk'}),0.0091,0.0961,0.7363,1.0,0.4127
FP-Growth,frozenset({'whole milk'}),frozenset({'soda'}),0.0091,0.0697,0.7363,1.0,0.4022
FP-Growth,frozenset({'whole milk'}),frozenset({'bottled beer'}),0.0054,0.0412,1.0173,1.0,0.539
FP-Growth,frozenset({'other vegetables'}),frozenset({'whole milk'}),0.0092,0.0863,0.6615,1.0,0.3634
FP-Growth,frozenset({'napkins'}),frozenset({'pastry'}),0.002,0.0813,1.6388,0.8796,0.7662
FP-Growth,frozenset({'whole milk'}),frozenset({'other vegetables'}),0.0092,0.0706,0.6615,1.0,0.3572
FP-Growth,frozenset({'soda'}),frozenset({'other vegetables'}),0.0074,0.0784,0.7347,1.0,0.393
FP-Growth,frozenset({'pastry'}),frozenset({'napkins'}),0.002,0.041,1.6388,0.8796,0.7502
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.0037,0.101,0.9909,0.9836,0.5143
FP-Growth,frozenset({'other vegetables'}),frozenset({'soda'}),0.0074,0.0695,0.7347,1.0,0.3895
FP-Growth,frozenset({'pip fruit'}),frozenset({'rolls/buns'}),0.0039,0.1051,1.0313,0.9672,0.5222
FP-Growth,frozenset({'bottled beer'}),frozenset({'bottled water'}),0.0025,0.0619,1.0196,1.0,0.5286
FP-Growth,frozenset({'candy'}),frozenset({'whole milk'}),0.0022,0.1343,1.0294,0.9678,0.5208
FP-Growth,frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.0032,0.0612,1.0137,0.9836,0.5093
FP-Growth,frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.0037,0.0914,0.8571,1.0,0.4481
FP-Growth,frozenset({'yogurt'}),frozenset({'other vegetables'}),0.0063,0.0807,0.7561,0.9836,0.3793
FP-Growth,frozenset({'bottled water'}),frozenset({'bottled beer'}),0.0025,0.0413,1.0196,1.0,0.5205
FP-Growth,frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.0032,0.0535,1.0137,0.9836,0.5062
FP-Growth,frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.0083,0.081,0.6206,0.9836,0.3089
FP-Growth,frozenset({'newspapers'}),frozenset({'whole milk'}),0.0044,0.1069,0.8195,0.9836,0.4156
FP-Growth,frozenset({'root vegetables'}),frozenset({'soda'}),0.0045,0.0752,0.7954,1.0,0.4093
FP-Growth,frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.0083,0.0632,0.6206,0.9836,0.3019
FP-Growth,frozenset({'other vegetables'}),frozenset({'yogurt'}),0.0063,0.0594,0.7561,0.9836,0.3709
FP-Growth,frozenset({'sausage'}),frozenset({'yogurt'}),0.002,0.0791,1.0062,0.9836,0.5034
FP-Growth,frozenset({'yogurt'}),frozenset({'whole milk'}),0.0068,0.0868,0.6649,0.9836,0.3285
FP-Growth,frozenset({'sausage'}),frozenset({'whole milk'}),0.0028,0.107,0.8198,1.0,0.4245
FP-Growth,frozenset({'brown bread'}),frozenset({'whole milk'}),0.0039,0.0982,0.7527,1.0,0.3878
FP-Growth,frozenset({'soda'}),frozenset({'root vegetables'}),0.0045,0.048,0.7954,1.0,0.3986
FP-Growth,frozenset({'canned beer'}),frozenset({'yogurt'}),0.0025,0.0734,0.9344,0.9836,0.4601
FP-Growth,frozenset({'bottled beer'}),frozenset({'pastry'}),0.002,0.0501,1.0103,0.9836,0.4945
FP-Growth,frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.0069,0.0681,0.6381,0.9836,0.3054
FP-Growth,frozenset({'newspapers'}),frozenset({'shopping bags'}),0.0023,0.0549,1.0411,0.9672,0.4967
FP-Growth,frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.0069,0.065,0.6381,0.9836,0.3042
FP-Growth,frozenset({'waffles'}),frozenset({'whole milk'}),0.0025,0.1235,0.9467,0.9524,0.4487
FP-Growth,frozenset({'tropical fruit'}),frozenset({'soda'}),0.0036,0.0735,0.7772,1.0,0.3907
FP-Growth,frozenset({'pastry'}),frozenset({'bottled beer'}),0.002,0.041,1.0103,0.9836,0.4909
FP-Growth,frozenset({'whole milk'}),frozenset({'yogurt'}),0.0068,0.0522,0.6649,0.9836,0.3149
FP-Growth,frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.0039,0.0994,0.7617,0.9836,0.3735
FP-Growth,frozenset({'shopping bags'}),frozenset({'newspapers'}),0.0023,0.0431,1.0411,0.9672,0.492
FP-Growth,frozenset({'chocolate'}),frozenset({'soda'}),0.0022,0.09,0.9513,0.9678,0.4549
FP-Growth,frozenset({'shopping bags'}),frozenset({'soda'}),0.0039,0.0748,0.791,0.9836,0.3819
FP-Growth,frozenset({'canned beer'}),frozenset({'whole milk'}),0.0032,0.0944,0.7235,1.0,0.3633
FP-Growth,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.0057,0.0731,0.717,0.9672,0.3274
FP-Growth,frozenset({'pip fruit'}),frozenset({'soda'}),0.0029,0.0764,0.8079,0.9836,0.3855
FP-Growth,frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.0057,0.0563,0.717,0.9672,0.3208
FP-Growth,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.0041,0.0771,0.7227,0.9836,0.3413
FP-Growth,frozenset({'citrus fruit'}),frozenset({'soda'}),0.0025,0.0727,0.7681,1.0,0.3772
FP-Growth,frozenset({'soda'}),frozenset({'shopping bags'}),0.0039,0.0417,0.791,0.9836,0.3687
FP-Growth,frozenset({'shopping bags'}),frozenset({'whole milk'}),0.0045,0.0862,0.6604,0.9836,0.3097
FP-Growth,frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.0022,0.1084,1.0164,0.9232,0.447
FP-Growth,frozenset({'shopping bags'}),frozenset({'rolls/buns'}),0.0041,0.0771,0.7566,0.9672,0.3419
FP-Growth,frozenset({'bottled water'}),frozenset({'soda'}),0.0038,0.063,0.6658,1.0,0.3193
FP-Growth,frozenset({'curd'}),frozenset({'other vegetables'}),0.0025,0.0833,0.7811,0.9836,0.3691
FP-Growth,frozenset({'newspapers'}),frozenset({'rolls/buns'}),0.0033,0.0809,0.7941,0.9672,0.3617
FP-Growth,frozenset({'brown bread'}),frozenset({'soda'}),0.0028,0.0685,0.7236,1.0,0.3497
FP-Growth,frozenset({'curd'}),frozenset({'whole milk'}),0.0029,0.0952,0.7299,0.9836,0.3446
